CY,MY,FCET_type,Population.NoLoss,Population.Survived,Fleet,Hub,Age,Survival
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC LOS ANGELES 11026,UPS CC LOS ANGELES 11026,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11022,UPS CC - LOS ANGELES 11022,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - LOS ANGELES 11023,UPS CC - LOS ANGELES 11023,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - FRESNO 11317,UPS CC - FRESNO 11317,6,0.94
