path_id,orig_node_id,dest_node_id,node_seq,node_id
58,18,25,1,20
58,18,25,2,19
58,18,25,3,50
58,18,25,4,23
58,18,25,5,51
58,18,25,6,24
58,18,25,7,52
58,18,25,8,53
58,18,25,9,54
58,18,25,10,25
59,12,25,0,12
59,12,25,1,13
59,12,25,2,18
59,12,25,3,20
59,12,25,4,19
59,12,25,5,50
59,12,25,6,23
59,12,25,7,51
59,12,25,8,24
59,12,25,9,52
59,12,25,10,53
59,12,25,11,54
59,12,25,12,25
60,29,25,0,29
60,29,25,1,28
60,29,25,2,27
60,29,25,3,68
60,29,25,4,67
60,29,25,5,22
60,29,25,6,66
60,29,25,7,26
60,29,25,8,65
60,29,25,9,64
60,29,25,10,63
60,29,25,11,62
60,29,25,12,61
60,29,25,13,60
60,29,25,14,59
60,29,25,15,58
60,29,25,16,57
60,29,25,17,56
60,29,25,18,55
60,29,25,19,25
61,31,25,0,31
61,31,25,1,32
61,31,25,2,34
61,31,25,3,35
61,31,25,4,38
61,31,25,5,27
61,31,25,6,68
61,31,25,7,67
61,31,25,8,22
61,31,25,9,66
61,31,25,10,26
61,31,25,11,65
61,31,25,12,64
61,31,25,13,63
61,31,25,14,62
61,31,25,15,61
61,31,25,16,60
61,31,25,17,59
61,31,25,18,58
61,31,25,19,57
61,31,25,20,56
61,31,25,21,55
61,31,25,22,25
62,35,25,0,35
62,35,25,1,38
62,35,25,2,27
62,35,25,3,68
62,35,25,4,67
62,35,25,5,22
62,35,25,6,66
62,35,25,7,26
62,35,25,8,65
62,35,25,9,64
62,35,25,10,63
62,35,25,11,62
62,35,25,12,61
62,35,25,13,60
62,35,25,14,59
62,35,25,15,58
62,35,25,16,57
62,35,25,17,56
62,35,25,18,55
62,35,25,19,25
63,33,25,0,33
63,33,25,1,34
63,33,25,2,35
63,33,25,3,38
63,33,25,4,27
63,33,25,5,68
63,33,25,6,67
63,33,25,7,22
63,33,25,8,66
63,33,25,9,26
63,33,25,10,65
63,33,25,11,64
63,33,25,12,63
63,33,25,13,62
63,33,25,14,61
63,33,25,15,60
63,33,25,16,59
63,33,25,17,58
63,33,25,18,57
63,33,25,19,56
63,33,25,20,55
63,33,25,21,25
64,7,25,0,7
64,7,25,1,6
64,7,25,2,49
64,7,25,3,19
64,7,25,4,50
64,7,25,5,23
64,7,25,6,51
64,7,25,7,24
64,7,25,8,52
64,7,25,9,53
64,7,25,10,54
64,7,25,11,25
65,5,25,0,5
65,5,25,1,6
65,5,25,2,49
65,5,25,3,19
65,5,25,4,50
65,5,25,5,23
65,5,25,6,51
65,5,25,7,24
